Latitud,Habitaciones,Baños,Superficie_m2,Ascensor,Aire_Acondicionado,Calefaccion,Parking,Balcon,Terraza,Piscina,Precio_Medio_cp,Precio
40.438507,2,1,60,0,0,0,0,1,1,0,379788,160000
40.439114,3,2,110,1,1,1,0,0,1,0,1023319,550000
40.44884,4,3,200,0,1,1,0,0,1,0,280852,498000
40.443527,1,1,46,0,1,0,0,1,0,0,898889,235000
40.394737,3,1,111,0,0,0,0,0,1,0,152717,180000
40.428665,1,1,52,1,0,1,0,0,0,0,1709528,320000
40.448803,2,2,95,1,0,1,0,0,1,0,1274253,480000
40.392845,2,2,66,1,1,1,0,1,1,0,152717,210000
40.42928,2,1,63,1,1,1,0,0,0,0,1207212,340000
40.46868,3,1,57,1,0,0,0,1,0,0,911651,210000
40.39641,3,1,64,0,0,0,0,0,1,0,199225,132000
40.422832,0,1,40,1,1,1,0,0,0,0,603234,199000
40.38082,2,1,67,0,0,0,0,0,0,0,202513,142000
40.33781,3,1,63,0,0,0,0,0,0,0,156772,98000
40.383305,3,1,60,1,1,1,0,0,0,0,166500,135000
40.42388,2,1,51,0,1,0,0,0,0,0,238758,195000
40.43629,1,1,39,0,0,0,0,0,0,0,673599,228000
40.391018,2,1,61,0,0,0,0,0,0,0,226302,129000
40.385983,3,1,90,0,0,1,0,0,1,0,197312,137500
40.420715,1,1,53,1,1,0,0,1,0,0,766309,339000
40.385555,2,1,63,0,0,0,0,0,1,0,164928,80000
40.39532,3,1,98,0,0,0,0,0,0,0,219078,149900
40.42762,3,2,106,1,1,1,0,0,1,0,766309,649000
40.48323,2,1,55,1,1,1,0,0,0,0,733699,199000
40.39832,3,2,81,1,1,1,0,0,1,0,357857,399000
40.41314,1,1,37,1,0,1,0,0,0,0,856046,200000
40.3964,3,1,69,1,1,1,0,0,0,0,226302,250000
40.42337,1,1,23,0,1,1,0,0,0,0,747577,165000
40.50783,2,2,107,1,1,1,0,0,0,0,480497,449000
40.45398,4,3,173,1,1,1,0,1,1,0,597620,799000
40.45889,3,2,108,1,1,1,0,0,1,0,597620,449000
40.404854,4,3,158,1,0,1,0,0,1,0,357857,700000
40.420418,4,3,184,1,1,1,0,0,1,0,941621,1195000
40.45802,4,2,100,0,1,0,0,1,0,0,597620,275000
