Codigo_Postal,Latitud,Longitud,Habitaciones,Baños,Superficie_m2,Piso,Ascensor,Aire_Acondicionado,Calefaccion,Parking,Balcon,Terraza,Piscina,Precio_Medio_cp,Precio
33,40.480534,-3.664915,1,1,70,0,1,0,1,0,0,0,0,471372,315000
29,40.480923,-3.700105,3,2,104,10,1,0,1,0,0,1,0,347317,219000
43,40.463123,-3.6556158,4,2,317,0,0,0,0,0,0,0,1,911651,1280000
38,40.399998,-3.6647713,0,1,51,0,1,1,1,0,1,1,0,164928,183000
41,40.35586,-3.6912725,3,2,105,0,1,1,1,0,0,1,0,212177,237000
20,40.452263,-3.701174,1,1,40,0,0,0,1,0,0,0,0,597620,199000
16,40.4628,-3.6755385,4,5,165,3,0,1,0,0,0,1,0,923762,1840000
28,40.436794,-3.6651218,1,1,49,0,0,0,0,0,0,0,0,603234,255000
16,40.454834,-3.6781964,3,3,137,6,0,0,0,0,0,1,0,923762,790000
12,40.408936,-3.6987808,4,1,82,0,0,0,1,0,0,0,0,440796,310000
17,40.423847,-3.657769,3,1,75,0,1,0,1,0,0,1,0,238758,198000
54,40.37235,-3.7384114,2,2,75,0,0,0,0,1,0,0,1,255165,201400
35,40.483036,-3.7220855,2,1,76,0,0,0,1,0,0,0,0,733699,199000
9,40.421234,-3.6763663,4,3,174,8,1,0,1,0,0,1,0,941621,1150000
9,40.4218,-3.6744478,4,4,222,10,0,0,0,1,0,0,0,941621,1750000
37,40.43541,-3.6154778,3,3,212,0,1,1,1,1,1,1,1,260568,720000
23,40.472248,-3.8181486,12,10,1200,0,0,1,1,0,0,1,1,1274253,3500000
52,40.39834,-3.54674,3,4,181,0,0,0,0,0,0,0,1,382726,393226
35,40.476414,-3.7249575,3,3,161,0,1,1,1,0,0,1,0,733699,710000
4,40.422935,-3.6957757,3,2,187,8,0,1,0,0,0,0,0,747577,1785000
27,40.44721,-3.64566,1,1,65,8,1,0,0,0,0,0,0,379788,329000
34,40.488,-3.707424,4,5,255,0,0,1,1,0,0,1,1,718994,1595000
36,40.458263,-3.6828067,7,7,573,0,0,1,0,0,0,1,0,1197915,3200000
46,40.468235,-3.6885078,4,2,100,6,0,0,0,0,0,0,0,1134196,520000
18,40.379196,-3.6521113,2,1,51,6,0,0,0,0,0,0,0,166500,123800
15,40.424656,-3.709259,1,1,39,10,0,1,0,0,0,1,0,673599,425000
27,40.443466,-3.6542702,3,2,120,19,1,1,1,0,0,1,0,379788,800000
23,40.46023,-3.794714,4,3,196,6,1,1,1,0,0,1,1,1274253,1100000
52,40.39969,-3.5569994,1,1,64,11,1,1,1,0,0,0,0,382726,239000
12,40.409405,-3.7010777,2,2,80,6,0,1,1,0,0,1,0,440796,418000
27,40.438,-3.6556635,4,2,104,0,0,0,1,0,0,1,0,379788,345000
25,40.38462,-3.72737,3,1,84,10,0,1,1,0,1,0,0,197312,175000
43,40.467373,-3.635939,3,2,85,8,1,0,1,0,0,0,0,911651,360000
20,40.447716,-3.697786,5,3,251,7,1,0,1,0,0,1,0,597620,895000
10,40.431908,-3.7002645,2,1,93,9,1,0,1,0,0,0,0,1023319,600000
9,40.41615,-3.67772,2,1,44,9,1,1,1,0,0,0,0,941621,325000
53,40.39479,-3.665864,3,2,96,10,0,0,0,1,0,0,0,152717,175000
27,40.438507,-3.6444607,2,1,60,6,0,0,0,0,1,1,0,379788,160000
10,40.439114,-3.701066,3,2,110,7,1,1,1,0,0,1,0,1023319,550000
22,40.44884,-3.57047,4,3,200,0,0,1,1,0,0,1,0,280852,498000
3,40.443527,-3.7051964,1,1,46,6,0,1,0,0,1,0,0,898889,235000
53,40.394737,-3.6649258,3,1,111,9,0,0,0,0,0,1,0,152717,180000
1,40.428665,-3.678122,1,1,52,0,1,0,1,0,0,0,0,1709528,320000
23,40.448803,-3.7839096,2,2,95,10,1,0,1,0,0,1,0,1274253,480000
53,40.392845,-3.6656291,2,2,66,8,1,1,1,0,1,1,0,152717,210000
6,40.42928,-3.674981,2,1,63,6,1,1,1,0,0,0,0,1207212,340000
43,40.46868,-3.6514382,3,1,57,6,1,0,0,0,1,0,0,911651,210000
24,40.39641,-3.7606487,3,1,64,0,0,0,0,0,0,1,0,199225,132000
28,40.422832,-3.666171,0,1,40,6,1,1,1,0,0,0,0,603234,199000
26,40.38082,-3.7158942,2,1,67,0,0,0,0,0,0,0,0,202513,142000
21,40.33781,-3.690097,3,1,63,10,0,0,0,0,0,0,0,156772,98000
18,40.383305,-3.666717,3,1,60,9,1,1,1,0,0,0,0,166500,135000
17,40.42388,-3.6521933,2,1,51,0,0,1,0,0,0,0,0,238758,195000
15,40.43629,-3.7126544,1,1,39,8,0,0,0,0,0,0,0,673599,228000
19,40.391018,-3.7207317,2,1,61,0,0,0,0,0,0,0,0,226302,129000
25,40.385983,-3.7333438,3,1,90,3,0,0,1,0,0,1,0,197312,137500
8,40.420715,-3.7185674,1,1,53,9,1,1,0,0,1,0,0,766309,339000
38,40.385555,-3.6528215,2,1,63,3,0,0,0,0,0,1,0,164928,80000
47,40.39532,-3.7418563,3,1,98,8,0,0,0,0,0,0,0,219078,149900
8,40.42762,-3.71751,3,2,106,9,1,1,1,0,0,1,0,766309,649000
35,40.48323,-3.72007,2,1,55,6,1,1,1,0,0,0,0,733699,199000
45,40.39832,-3.70026,3,2,81,8,1,1,1,0,0,1,0,357857,399000
14,40.41314,-3.69605,1,1,37,6,1,0,1,0,0,0,0,856046,200000
19,40.3964,-3.71861,3,1,69,6,1,1,1,0,0,0,0,226302,250000
4,40.42337,-3.7071,1,1,23,9,0,1,1,0,0,0,0,747577,165000
50,40.50783,-3.67394,2,2,107,8,1,1,1,0,0,0,0,480497,449000
20,40.45398,-3.69882,4,3,173,7,1,1,1,0,1,1,0,597620,799000
20,40.45889,-3.69912,3,2,108,7,1,1,1,0,0,1,0,597620,449000
45,40.404854,-3.6922777,4,3,158,9,1,0,1,0,0,1,0,357857,700000
9,40.420418,-3.6743593,4,3,184,9,1,1,1,0,0,1,0,941621,1195000
20,40.45802,-3.6994479,4,2,100,8,0,1,0,0,1,0,0,597620,275000
15,40.437813,-3.7085984,3,1,96,3,1,0,1,0,0,0,0,673599,430000
47,40.402237,-3.739189,3,2,81,6,1,1,1,0,1,0,0,219078,295000
19,40.38883,-3.7227776,3,2,86,11,1,0,0,0,0,1,0,226302,225000
16,40.452263,-3.6669056,4,3,164,10,1,0,1,0,1,1,0,923762,800000
27,40.440704,-3.6446996,3,1,84,8,1,1,1,0,1,1,0,379788,255000
43,40.467205,-3.63331,3,1,86,7,1,1,1,0,1,1,0,911651,319000
9,40.423214,-3.67736,2,2,71,7,1,1,1,0,0,0,0,941621,450000
27,40.441456,-3.6389456,2,2,106,6,1,1,1,0,0,0,0,379788,460000
10,40.436066,-3.6966429,3,2,105,7,1,1,1,0,0,0,0,1023319,1050000
24,40.39607,-3.765326,3,1,77,16,1,1,1,1,0,0,0,199225,210000
43,40.45904,-3.6261075,2,2,107,8,1,1,1,0,0,0,0,911651,540000
2,40.44748,-3.67318,2,1,43,0,1,1,1,0,0,0,0,700100,199000
20,40.453598,-3.6944256,4,3,175,11,1,0,1,0,1,1,0,597620,870000
29,40.47642,-3.699543,5,2,170,14,1,0,1,0,0,1,0,347317,480000
12,40.408855,-3.7000585,3,1,80,9,1,0,1,0,1,0,0,440796,385000
34,40.481434,-3.7117393,4,2,102,11,1,0,1,0,0,1,0,718994,360000
50,40.499187,-3.6727526,2,2,80,6,1,1,1,0,0,0,0,480497,395000
35,40.47875,-3.7178345,2,1,75,11,1,0,1,0,0,0,0,733699,310000
50,40.48519,-3.66692,1,1,52,6,1,0,1,0,0,0,0,480497,201000
45,40.39282,-3.69428,2,1,45,0,0,0,1,0,0,1,0,357857,147000
29,40.47793,-3.71374,2,1,64,16,1,0,1,0,1,0,0,347317,254020
20,40.45913,-3.696144,2,1,77,12,1,1,0,1,0,0,0,597620,550000
6,40.43026,-3.6777883,2,3,92,6,1,0,1,0,0,0,0,1207212,750000
26,40.387,-3.711545,3,1,90,6,0,0,1,0,0,0,0,202513,172000
33,40.47426,-3.6362574,2,1,70,6,0,0,1,0,1,1,0,471372,230000
26,40.384647,-3.6964161,4,2,176,7,1,1,1,1,1,1,1,202513,570000
20,40.448376,-3.697116,5,3,282,8,1,1,1,0,0,1,0,597620,1100000
37,40.42705,-3.613829,2,1,54,3,0,1,1,0,0,0,0,260568,140000
10,40.42986,-3.7014523,2,2,97,6,1,1,1,0,1,0,0,1023319,790000
8,40.42128,-3.7170289,1,1,76,3,0,1,1,0,1,0,0,766309,350000
37,40.425457,-3.6235123,1,1,60,3,0,1,1,0,0,0,0,260568,129000
20,40.447693,-3.7026925,3,1,81,6,1,1,0,0,0,0,0,597620,360000
12,40.414455,-3.7026608,4,2,117,8,1,0,0,0,1,0,0,440796,600000
37,40.434444,-3.6192384,2,2,97,6,1,1,1,1,0,0,1,260568,385000
47,40.40322,-3.73934,3,1,70,0,0,0,1,0,0,1,0,219078,249000
2,40.443455,-3.6686914,1,1,65,12,1,1,1,0,0,0,0,700100,342000
22,40.442608,-3.5762436,1,1,82,9,1,1,1,1,0,0,1,280852,268000
5,40.40258,-3.7089088,2,3,197,7,1,1,1,1,0,0,1,421413,1200000
38,40.397346,-3.6639209,2,1,48,6,0,1,0,0,0,0,0,164928,103000
54,40.37112,-3.7391527,2,2,96,6,1,1,1,0,0,0,0,255165,269900
8,40.42591,-3.7148757,2,1,69,0,1,0,1,0,0,1,0,766309,544000
44,40.38275,-3.7782238,2,1,61,10,1,0,1,0,0,1,0,192864,178000
12,40.409225,-3.6994503,2,1,65,3,0,1,0,0,0,0,0,440796,235000
2,40.439075,-3.6798494,3,2,120,6,1,1,1,0,0,0,0,700100,799000
44,40.37938,-3.7668712,2,1,66,10,1,1,0,0,0,1,0,192864,179000
20,40.456978,-3.6933227,6,5,261,7,1,1,0,0,0,1,0,597620,1395000
3,40.439434,-3.7005913,2,1,66,9,1,0,1,0,0,0,0,898889,435000
7,40.408447,-3.6750968,2,1,123,10,1,0,1,0,0,0,0,529747,505000
13,40.420338,-3.7024078,2,2,137,7,1,1,1,0,0,1,0,760050,1350000
40,40.447067,-3.716637,3,3,286,8,1,1,0,1,0,1,0,645360,975000
2,40.446564,-3.6886313,1,2,168,3,1,0,1,0,0,0,0,700100,585000
11,40.415474,-3.7239826,6,3,192,9,1,1,1,1,0,1,0,259011,760000
37,40.435238,-3.6247973,3,2,141,0,1,1,1,0,0,1,0,260568,540000
13,40.420586,-3.7124808,2,2,137,0,1,0,1,0,1,0,0,760050,850000
12,40.41076,-3.70546,3,2,184,7,0,0,1,0,1,0,0,440796,659900
45,40.39188,-3.691899,2,2,92,10,1,1,1,1,0,1,1,357857,575000
35,40.478073,-3.7209146,3,2,107,9,1,1,1,0,0,1,0,733699,425000
23,40.4659,-3.7886503,4,3,270,0,1,1,1,0,1,1,1,1274253,1540000
27,40.43985,-3.64294,2,1,49,9,0,1,1,0,0,0,0,379788,155000
21,40.349583,-3.6782868,3,2,86,12,1,0,1,1,0,0,0,156772,244999
21,40.349556,-3.6784477,2,1,64,11,1,0,1,1,0,0,0,156772,199999
44,40.372482,-3.754615,3,1,93,8,1,0,1,0,0,1,0,192864,220000
15,40.435436,-3.7129016,3,1,69,8,1,1,0,0,1,0,0,673599,470000
45,40.397923,-3.6991656,3,2,86,16,1,1,1,0,0,1,0,357857,435000
43,40.463623,-3.6459048,3,1,65,8,1,0,1,1,1,1,0,911651,235000
37,40.430153,-3.6251101,2,1,48,8,1,1,1,0,0,0,0,260568,168000
28,40.440815,-3.6614454,3,2,132,4,1,0,1,0,0,0,0,603234,495000
10,40.436447,-3.6946077,2,1,104,11,1,1,1,0,0,0,0,1023319,545000
3,40.441975,-3.7129328,5,3,223,8,1,1,1,0,0,1,0,898889,995000
45,40.3982,-3.7014725,2,1,76,9,1,0,1,0,0,1,0,357857,355000
4,40.426765,-3.7021923,1,2,120,8,1,1,1,0,0,0,0,747577,650000
17,40.4311,-3.6364126,2,1,67,10,1,1,1,0,0,0,0,238758,180000
44,40.36758,-3.75398,2,1,33,0,0,1,1,0,0,0,0,192864,115000
38,40.39671,-3.6622,3,1,69,0,0,0,1,0,0,1,0,164928,155000
26,40.376717,-3.711104,2,1,58,3,1,1,1,0,0,0,0,202513,148000
4,40.422657,-3.6939359,2,2,98,8,1,1,1,1,0,1,0,747577,930000
3,40.445087,-3.6995409,5,5,145,6,1,1,1,0,0,0,0,898889,720000
43,40.45168,-3.6537805,7,5,265,8,1,1,0,1,0,1,0,911651,1145000
7,40.406384,-3.6679826,4,2,133,18,1,1,1,0,0,0,1,529747,549000
14,40.405113,-3.6813073,3,2,105,0,1,1,1,0,1,0,0,856046,455000
15,40.43484,-3.7169676,4,2,150,16,1,0,1,1,1,1,0,673599,990000
24,40.392155,-3.782319,4,4,98,3,0,1,1,0,0,0,0,199225,299000
29,40.466415,-3.6926465,4,2,129,8,1,0,0,1,0,0,0,347317,580000
38,40.40415,-3.6621587,1,1,36,3,1,0,1,0,0,0,0,164928,165000
38,40.40415,-3.6621587,2,2,61,3,1,0,1,0,1,1,0,164928,240000
13,40.419693,-3.7064998,2,1,49,10,1,1,1,0,0,0,0,760050,425000
42,40.45329,-3.586056,3,2,190,3,1,1,1,0,0,1,0,457692,625000
6,40.438164,-3.6895206,4,5,307,8,1,1,1,0,0,1,0,1207212,2500000
10,40.42989,-3.7036314,3,3,130,6,1,1,1,0,0,0,0,1023319,820000
3,40.440598,-3.7120912,6,4,298,7,1,0,1,0,1,0,0,898889,1250000
34,40.499413,-3.708095,4,4,200,9,1,1,1,1,0,1,0,718994,850000
2,40.441032,-3.6748707,2,1,68,7,1,0,0,0,0,0,0,700100,380000
13,40.420303,-3.710261,2,2,130,7,1,1,1,0,1,0,1,760050,700000
22,40.420616,-3.5998554,3,2,177,6,1,1,1,1,0,1,0,280852,475000
35,40.48758,-3.7232704,4,2,117,6,1,1,1,0,0,1,0,733699,395000
4,40.426495,-3.7024307,1,2,101,7,0,1,1,0,1,0,0,747577,575000
28,40.433895,-3.672396,3,1,79,9,1,0,0,0,0,0,0,603234,498000
